Device,URL,Performance,Accessibility,Best-practices,SEO,PWA,First Contentful Paint,First Meaningful Paint,Speed Index,Estimated Input Latency,Time to Interactive,First CPU Idle,Eliminate render-blocking resources,Preconnect to required origins,Enable text compression,Server response times are low (TTFB),Defer offscreen images,Serve images in next-gen formats,Efficiently encode images,Properly size images,Minify JavaScript,Preload key requests,Remove unused CSS,Use video formats for animated content,Minify CSS,Minimize main-thread work,Avoid an excessive DOM size,Serve static assets with an efficient cache policy,Reduce JavaScript execution time,Minimize Critical Requests Depth,User Timing marks and measures,All text remains visible during webfont loads,Avoids enormous network payloads
desktop,https://resumegenius.com/how-to-write-a-resume/skills-section-writing-guide,0.77,0.78,0.93,0.9,0.56,2.0 s,2.3 s,4.7 s,20 ms,5.3 s,5.0 s,920 ms (Potential savings of),590 ms (Potential savings of),1,920 ms (Root document took),87 KB (Potential savings of),1,1,170 KB (Potential savings of),1,1,8 KB (Potential savings of),1,1,3.5 s,"2,110 nodes",49 resources found,0.8 s,7 chains found,-1,0,996 KB (Total size was)
mobile,https://resumegenius.com/how-to-write-a-resume,0.76,0.82,0.93,0.9,0.54,2.4 s,2.5 s,4.2 s,120 ms,5.8 s,5.2 s,0 ms (Potential savings of),570 ms (Potential savings of),1,280 ms (Root document took),185 KB (Potential savings of),52 KB (Potential savings of),1,1,1,1,8 KB (Potential savings of),1,1,5.8 s,"3,589 nodes",86 resources found,1.5 s,7 chains found,-1,0,"1,519 KB (Total size was)"
desktop,https://resumegenius.com/how-to-write-a-resume,0.77,0.82,0.93,0.9,0.56,2.1 s,2.6 s,4.0 s,120 ms,5.8 s,5.2 s,740 ms (Potential savings of),590 ms (Potential savings of),1,280 ms (Root document took),74 KB (Potential savings of),1,1,23 KB (Potential savings of),1,1,8 KB (Potential savings of),1,1,6.1 s,"3,589 nodes",88 resources found,1.2 s,7 chains found,-1,0,"1,405 KB (Total size was)"
mobile,https://www.hloom.com/cover-letters/,0.81,0.74,0.93,0.92,0.58,1.8 s,1.9 s,3.0 s,280 ms,6.0 s,5.7 s,380 ms (Potential savings of),460 ms (Potential savings of),1,60 ms (Root document took),17 KB (Potential savings of),1,1,1,1,1,49 KB (Potential savings of),1,1,7.1 s,"3,472 nodes",34 resources found,1.1 s,5 chains found,-1,0,507 KB (Total size was)
desktop,https://zety.com/resume-examples,0.86,0.76,1,1,0.72,1.2 s,2.7 s,2.2 s,30 ms,5.4 s,5.1 s,1,630 ms (Potential savings of),1,180 ms (Root document took),1,1,1,1,1,1,4 KB (Potential savings of),1,1,3.0 s,"1,830 nodes",7 resources found,0.8 s,4 chains found,-1,1,394 KB (Total size was)
mobile,https://resumegenius.com/resume-samples,0.8,0.83,0.93,0.95,0.58,2.4 s,2.4 s,3.4 s,40 ms,5.6 s,5.3 s,0 ms (Potential savings of),600 ms (Potential savings of),1,280 ms (Root document took),41 KB (Potential savings of),1,1,1,1,1,10 KB (Potential savings of),1,1,3.3 s,"2,809 nodes",41 resources found,1.1 s,7 chains found,-1,0,472 KB (Total size was)
mobile,https://resumegenius.com/how-to-write-a-resume,0.81,0.82,0.93,0.9,0.54,2.1 s,2.3 s,3.8 s,40 ms,5.5 s,4.9 s,150 ms (Potential savings of),690 ms (Potential savings of),1,380 ms (Root document took),185 KB (Potential savings of),52 KB (Potential savings of),1,1,1,1,8 KB (Potential savings of),1,1,4.2 s,"3,589 nodes",86 resources found,1.0 s,7 chains found,-1,0,"1,519 KB (Total size was)"
desktop,https://resumegenius.com/resume-samples,0.82,0.83,0.93,1,0.56,2.2 s,2.2 s,3.3 s,40 ms,5.5 s,5.2 s,160 ms (Potential savings of),640 ms (Potential savings of),1,280 ms (Root document took),41 KB (Potential savings of),1,1,4 KB (Potential savings of),1,1,9 KB (Potential savings of),1,1,3.8 s,"2,809 nodes",44 resources found,1.1 s,7 chains found,-1,0,506 KB (Total size was)
mobile,https://resumegenius.com/resume-samples,0.77,0.83,0.93,0.95,0.58,2.5 s,2.5 s,3.6 s,60 ms,5.8 s,5.5 s,170 ms (Potential savings of),590 ms (Potential savings of),1,320 ms (Root document took),41 KB (Potential savings of),1,1,1,1,1,10 KB (Potential savings of),1,1,3.9 s,"2,809 nodes",41 resources found,1.5 s,7 chains found,-1,0,472 KB (Total size was)
mobile,https://resumegenius.com/cover-letter-examples,0.82,0.83,0.93,0.95,0.58,2.0 s,2.0 s,3.2 s,50 ms,5.5 s,5.2 s,0 ms (Potential savings of),870 ms (Potential savings of),1,320 ms (Root document took),7 KB (Potential savings of),1,1,1,1,1,10 KB (Potential savings of),1,1,3.5 s,"2,485 nodes",37 resources found,1.3 s,6 chains found,-1,0,413 KB (Total size was)
